# V_eff [Jy]
1.081556066507243941e+01 1.127000993545161478e+01
1.007355430369906557e+01 1.042127985849858085e+01
9.261363612013294500e+00 9.450826577023310193e+00
8.588957038726276139e+00 8.587118397897103961e+00
8.144570011747923388e+00 7.994337020807744665e+00
7.670295891963760937e+00 7.483105023268056044e+00
6.767535419493146520e+00 6.540892476613683115e+00
5.767500473129937077e+00 5.204361956381668541e+00
5.932925063877108940e+00 4.857644315486973952e+00
7.287972549581136938e+00 6.089705288337173172e+00
8.913475437485846697e+00 7.803266395372769004e+00
1.040596417545845753e+01 9.379167612132802034e+00
1.168763395969088847e+01 1.068251329431622842e+01
1.275765785394897911e+01 1.170985932660077289e+01
1.352584328009266557e+01 1.240050005641344555e+01
1.388255101966168681e+01 1.268186962170177168e+01
1.376646279130098094e+01 1.252638637682506229e+01
1.310175595361471323e+01 1.187336030207861626e+01
1.192771628739505196e+01 1.081042289793933975e+01
1.024013476518644694e+01 9.340921391568830501e+00
8.154825049261138048e+00 7.675646899321859173e+00
6.067438128122629948e+00 6.324322246231667499e+00
4.762979344243427171e+00 5.957375653222078071e+00
5.209631897406612921e+00 6.786647947598627439e+00
6.641598948275418302e+00 7.930194072735096356e+00
7.637266525080283586e+00 8.550302520055208078e+00
7.962092626128701056e+00 8.647422728376144008e+00
8.347501942398420027e+00 8.840015901713657698e+00
9.209284261802768157e+00 9.482204117592313963e+00
1.048947765302036217e+01 1.059210569475527919e+01
1.170622049604835624e+01 1.173034249810867635e+01
1.270550186896420186e+01 1.273677403426126098e+01
1.341487369269763796e+01 1.352156423422196596e+01
1.374910322298046594e+01 1.396314867304226937e+01
1.376737338151849954e+01 1.408522675000913082e+01
1.353747709772539487e+01 1.392546679768292783e+01
1.311905116252899006e+01 1.352276577381803335e+01
1.251708730643024303e+01 1.288891851822814871e+01
1.176280397403240130e+01 1.208126015430725886e+01
1.089723687486098136e+01 1.114958931462415137e+01
1.000359389982051894e+01 1.019350574598014880e+01
9.002430481290947029e+00 9.130829375497146572e+00
7.991976331432741887e+00 8.050516356497361414e+00
7.005788737252704124e+00 6.939742743106812384e+00
6.064301140927498501e+00 5.705051770446390336e+00
5.252120666780133895e+00 4.237941026462779703e+00
4.977542255346006250e+00 3.313993573653569946e+00
5.541934440929498606e+00 4.156623658848376479e+00
6.580214885268728331e+00 5.688006779454481965e+00
7.684055369812380576e+00 7.119679366427857481e+00
8.755364402344831376e+00 8.414048233587239523e+00
9.748697762038791126e+00 9.567897344976376672e+00
1.065005727208035324e+01 1.057094249495453120e+01
1.143759216467483242e+01 1.141022972389952272e+01
1.207649525063284202e+01 1.206054405334236890e+01
1.251282507818378420e+01 1.248128467394838026e+01
1.269966208693482557e+01 1.264801260920209103e+01
1.255980290401389965e+01 1.251140118628648423e+01
1.208438216048715219e+01 1.208067383150102891e+01
1.131863808428380658e+01 1.139894462728742042e+01
1.037434095070850049e+01 1.055758416621844731e+01
9.394207516719994544e+00 9.652848554879700060e+00
8.494815737322030103e+00 8.786564015098372593e+00
7.793098506875486109e+00 8.081956108222936308e+00
7.376269896975819584e+00 7.678254683880226139e+00
7.219725511290705278e+00 7.581810459720029982e+00
7.380777845882112942e+00 7.824078699073675480e+00
7.893097071492287675e+00 8.390688319998217182e+00
8.724639125222701352e+00 9.235556109643839662e+00
9.723548084815561765e+00 1.022372221342071086e+01
1.068830084599698438e+01 1.117791848405438593e+01
1.138602212672570957e+01 1.187297833664489843e+01
1.164166917538506851e+01 1.212994658408718962e+01
1.165327532555493661e+01 1.206728352583161623e+01
1.195386149276604648e+01 1.208647788300000414e+01
1.281745327278141389e+01 1.248436423218308100e+01
1.403130837243204709e+01 1.321447118887359551e+01
1.518756516021589320e+01 1.396726499544134725e+01
1.605856431934065398e+01 1.454403577744447063e+01
1.648032284509241663e+01 1.477501522915776278e+01
1.632444650604118408e+01 1.452399749424601261e+01
1.548165694460612940e+01 1.367977650832476400e+01
1.396766124648383212e+01 1.229107548797519023e+01
1.181835754980905584e+01 1.041473667589089480e+01
9.095820100326413638e+00 8.100492775918368693e+00
6.071565055389979371e+00 5.599085810017907505e+00
3.633454992487552548e+00 3.605486807334592037e+00
3.452226436395132048e+00 3.198544113375688891e+00
4.836015143718951137e+00 4.124804100035863286e+00
7.117867857549094346e+00 6.149816612824996476e+00
9.340793154354363637e+00 8.239554905019495834e+00
1.114258652135335659e+01 1.002502284976837466e+01
1.260594003688990483e+01 1.157874990682007166e+01
1.384419060327918949e+01 1.296491264024733070e+01
1.495838432645950711e+01 1.422550533428804442e+01
1.590588857273135659e+01 1.527075156771756781e+01
1.669806103951041010e+01 1.610298094601919772e+01
1.702551463438311430e+01 1.642482355284245443e+01
1.654307562689700362e+01 1.594903671563737291e+01
1.487754659443154459e+01 1.436578375720822009e+01
1.205122975430980858e+01 1.163173739242725269e+01
9.189045934160478879e+00 8.470033518430685859e+00
8.843345186323096740e+00 7.181605501372824385e+00
1.134882093318309515e+01 9.117723827100963518e+00
1.424863898480813695e+01 1.198853971766621385e+01
1.629929891029350841e+01 1.420529025308362669e+01
1.724628407612733128e+01 1.538672113961627019e+01
1.710744052186203490e+01 1.552000328174851695e+01
1.592374970105292853e+01 1.463845105571622085e+01
1.372955755583629944e+01 1.277828565447780740e+01
1.054923489324902341e+01 9.954648179116766471e+00
6.850058656383447797e+00 6.584266076439858395e+00
5.434314303650884526e+00 5.186624218172701362e+00
7.639634436106806703e+00 7.133911723460556686e+00
